,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
404,2DgdHcjWmO3qd50RzuBLgZ,0.00272,0.506,0.817,0.0,0.0486,-5.051,0.0335,109.952,0.506,86
405,5j9yOfRB2s6OMS1YwwYiMw,0.474,0.174,0.337,0.000294,0.11,-8.767,0.0313,85.574,0.0978,55
406,3yZQk5PC52CCmT4ZaTIKvv,0.00155,0.572,0.912,1.2e-06,0.102,-4.875,0.0707,156.073,0.606,66
407,46Kcradxrva9Dny4lHU1b3,0.00394,0.642,0.873,0.0,0.175,-5.821,0.0551,82.002,0.662,64
408,0zewUY3RSh8yaV7q66Okem,0.000433,0.68,0.847,0.0,0.331,-5.987,0.0449,123.96,0.834,57
409,1ozYwEeDttK6iWc1yQS8c4,0.00382,0.604,0.78,0.0661,0.107,-5.792,0.0353,103.99,0.287,48
410,5Q4H1XkVHxQjnrHCUpS61d,0.000912,0.592,0.891,0.000128,0.25,-4.766,0.0522,127.955,0.571,62
411,2wEjPgOCEczmjlvq60LyQi,0.00216,0.606,0.924,3.3e-06,0.24,-4.531,0.0349,144.998,0.965,64
412,2zkXavDV9dw8uR0pfhsBt2,0.0002,0.508,0.858,0.000113,0.186,-5.309,0.0557,147.059,0.385,54
413,4NTL7fT4eqfPao94lmqth2,0.00217,0.676,0.756,3.08e-05,0.104,-6.528,0.0446,126.98,0.543,56
414,1zN3CZlafjfEiMR9uXQGrW,0.00156,0.531,0.937,0.000763,0.064,-4.756,0.0548,170.021,0.618,55
415,78tro1rpoxmqjbjiRRRzoH,0.827,0.21,0.233,0.0039,0.129,-11.636,0.0287,88.679,0.095,51
426,4LASwcEKtUCW7bpohKmBPR,0.0158,0.486,0.878,0.0,0.119,-4.729,0.101,119.985,0.507,24
427,7og3LSXygGBzH5CAj14lxs,0.0172,0.419,0.939,0.0,0.202,-3.813,0.183,143.059,0.389,30
428,5rLi8B8qgk6qThwRnKHW2P,0.000362,0.436,0.893,0.0,0.103,-4.18,0.0556,124.113,0.0794,67
429,14uvyd51Ha7FihKHlOtUig,0.00428,0.455,0.867,5.01e-05,0.0998,-3.445,0.151,185.977,0.29,61
430,7l9uOhfVJC8Y0c6PXHrgbs,0.00393,0.515,0.869,0.0,0.434,-4.381,0.109,122.748,0.336,55
431,0k8tcDGLSqUQAeuoOaUJj2,0.000473,0.489,0.958,0.0,0.401,-2.731,0.05,132.975,0.427,52
432,62lc21zAcKWs11pbSOabO9,0.000169,0.467,0.803,6.8e-06,0.123,-3.282,0.0467,129.995,0.18,50
433,7m4HUtdXRUHEitLIqbVWxf,0.000463,0.57,0.922,0.000188,0.363,-5.433,0.0424,135.01,0.32,53
434,5VL7pScLlKe4MbB8EAivgA,0.665,0.408,0.499,0.0,0.11,-7.651,0.0323,88.968,0.554,54
435,1qRKyMsn18kuIIP25W9byL,0.00546,0.305,0.701,1.06e-06,0.182,-5.67,0.0494,75.588,0.333,48
436,00h6syYCxPKVsInPHXhdZ1,0.000324,0.332,0.837,0.0,0.164,-3.437,0.038,171.341,0.551,58
437,2KA3lvDwQQiyvuJJvzifGL,0.00669,0.6,0.614,0.0,0.166,-4.688,0.0885,121.965,0.341,56
448,4U143whRelbK24Wj8UFx20,3.1e-05,0.367,0.885,1.12e-06,0.338,-4.387,0.0775,145.02,0.393,27
449,2bJWZ16Bx5yqN3m9zgB65L,0.00177,0.46,0.953,0.0,0.317,-3.468,0.278,168.039,0.765,28
450,3d8mQn6nZq003tRRMekRFX,0.0743,0.279,0.937,0.0002,0.817,-6.091,0.172,155.1,0.259,28
451,641eTjClhfoX0qHDoXbic8,0.218,0.454,0.837,0.0,0.591,-4.069,0.0375,77.186,0.494,32
452,7AuX2oLxWT6skMXtBus0jL,0.0259,0.374,0.934,3.12e-05,0.615,-3.713,0.153,163.904,0.452,30
453,0F27M27PhMrsEIfMNOG73k,0.061,0.408,0.931,0.0,0.754,-3.383,0.075,153.96,0.305,29
454,7yWH251p5zsOmv6srU1McM,0.0798,0.561,0.908,1.86e-06,0.707,-4.352,0.0648,114.967,0.451,28
455,1kWmeGAStssgKW1PPPefY1,0.0967,0.289,0.948,0.0,0.755,-3.904,0.271,164.925,0.283,29
456,5d5jXhgaOF5yBTJbE2791y,0.0458,0.254,0.813,4.64e-06,0.926,-5.637,0.0542,84.532,0.206,28
457,1IO0vmLJC3xjZK1f9VVX2K,0.0677,0.486,0.917,0.0,0.797,-4.587,0.0614,124.923,0.341,31
458,5F4YeuJPBERnEtpfRb9jFV,0.0743,0.269,0.897,0.0,0.708,-4.683,0.0959,155.368,0.326,28
459,2qW71gsv6Vv9enc3QxQr4N,0.0195,0.52,0.889,0.0,0.823,-4.307,0.0342,97.03,0.432,29
460,0RMOeUWeNDQsAXeq48VF5N,0.149,0.495,0.94,0.0,0.943,-3.787,0.132,112.889,0.349,29
461,1U3rea2stRYGW5dhxA4lzK,0.433,0.432,0.897,0.0,0.935,-5.096,0.0804,104.109,0.718,27
462,2c372AGbMIeDFrIfrYP1oD,0.063,0.391,0.955,0.0,0.82,-4.215,0.0745,165.087,0.407,29
463,5yBwtNMXAz8yyfd4re8I8m,0.204,0.383,0.772,0.0,0.858,-5.615,0.0403,84.96,0.357,30
