,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
112,윤하,RescuE,11,2k3odHCg450sXW5pmACbTn,Propose,spotify:track:2k3odHCg450sXW5pmACbTn,0.645,0.648,0.452,0.0,0.188,-5.774,0.0327,95.027,0.467,20
113,윤하,People,1,66Hrjgl6oy64bujozz6o4w,RUN,spotify:track:66Hrjgl6oy64bujozz6o4w,0.122,0.505,0.87,2.1e-06,0.623,-4.566,0.135,124.006,0.222,1
115,윤하,People,3,1Pq5uEnaKxx49wTpd9k7rQ,クリームパスタ,spotify:track:1Pq5uEnaKxx49wTpd9k7rQ,0.208,0.598,0.827,0.0,0.159,-3.871,0.0354,126.042,0.461,1
116,윤하,People,4,5q5nBDmLIOXUO70tkoFeyj,Wait For Me,spotify:track:5q5nBDmLIOXUO70tkoFeyj,0.483,0.467,0.552,0.0,0.105,-3.634,0.0286,81.127,0.211,0
117,윤하,People,5,6K0umVUyOXrsQy63YuW0AR,ソナギ,spotify:track:6K0umVUyOXrsQy63YuW0AR,0.00966,0.405,0.628,1.34e-05,0.217,-4.044,0.0325,142.04,0.228,1
119,윤하,People,7,3AKvr0zM05TWSzruQFHVyo,星から来たあなた - Japanese ver.,spotify:track:3AKvr0zM05TWSzruQFHVyo,0.0308,0.538,0.908,0.0,0.19,-3.411,0.0449,127.011,0.585,14
120,윤하,People,8,6I07NgAJ38cnjyLdSn5RIi,HOME,spotify:track:6I07NgAJ38cnjyLdSn5RIi,0.601,0.455,0.484,3.64e-06,0.1,-7.037,0.0267,139.81,0.441,0
122,윤하,Supersonic,2,5b6lLDh2X3tjykyQS5IV2y,People,spotify:track:5b6lLDh2X3tjykyQS5IV2y,0.16,0.726,0.705,0.0,0.158,-5.49,0.0379,120.008,0.894,14
123,윤하,Supersonic,3,1EUHwojJCAe7KeFurCJNox,Rock Like Stars (feat. Tiger JK),spotify:track:1EUHwojJCAe7KeFurCJNox,0.0226,0.676,0.923,3.46e-06,0.358,-2.504,0.0854,110.984,0.858,10
124,윤하,Supersonic,4,4ho3GMz37XIAkXJaP9V3AO,Run,spotify:track:4ho3GMz37XIAkXJaP9V3AO,0.0328,0.532,0.933,0.0,0.137,-2.429,0.165,127.047,0.317,23
125,윤하,Supersonic,5,69BTcVqLMaF4L5wXTlOohm,No Limit,spotify:track:69BTcVqLMaF4L5wXTlOohm,0.00431,0.363,0.972,0.0,0.344,-2.265,0.209,168.035,0.334,9
126,윤하,Supersonic,6,43crdP1eMFeh7PKIrWczuC,소나기,spotify:track:43crdP1eMFeh7PKIrWczuC,0.0315,0.449,0.628,0.0,0.164,-3.505,0.0295,141.867,0.233,25
127,윤하,Supersonic,7,42HMfv90yB4OET721EgXPa,우린 달라졌을까 (with John Park),spotify:track:42HMfv90yB4OET721EgXPa,0.494,0.379,0.811,0.0,0.292,-4.243,0.143,205.462,0.466,19
128,윤하,Supersonic,8,7JNUiUW9dWwllwTod6ENYl,Set Me Free,spotify:track:7JNUiUW9dWwllwTod6ENYl,0.234,0.406,0.607,0.0091,0.225,-3.87,0.0328,128.061,0.0983,12
129,윤하,Supersonic,9,5s2besULKl2FBm6rHycCBJ,크림소스 파스타,spotify:track:5s2besULKl2FBm6rHycCBJ,0.34,0.628,0.805,0.0,0.0888,-3.839,0.0362,126.002,0.622,15
130,윤하,Supersonic,10,4SFD1ATvzNea9PkdBI5vFT,기다려줘,spotify:track:4SFD1ATvzNea9PkdBI5vFT,0.688,0.468,0.539,0.0,0.115,-4.891,0.0282,81.051,0.23,14
131,윤하,Supersonic,11,6v39GxWx5iDHOd6gg4OmEr,Driver (feat. 박재범),spotify:track:6v39GxWx5iDHOd6gg4OmEr,0.0308,0.564,0.884,0.0,0.109,-4.178,0.0953,89.959,0.599,7
132,윤하,Supersonic,12,3hsF1jQiXmPheISPLIEmWL,Hope,spotify:track:3hsF1jQiXmPheISPLIEmWL,0.11,0.296,0.644,7.92e-06,0.105,-5.01,0.0313,128.908,0.316,10
133,윤하,ひとつ空の下,1,3D7nI0uSLMxo2pw3ZiA4Le,風,spotify:track:3D7nI0uSLMxo2pw3ZiA4Le,0.332,0.539,0.418,5.75e-06,0.0707,-7.855,0.0289,179.99,0.463,12
134,윤하,ひとつ空の下,2,3zUGzejODnwTbsrKaAU2bD,好きなんだ,spotify:track:3zUGzejODnwTbsrKaAU2bD,0.0965,0.47,0.665,1.71e-06,0.0978,-5.718,0.032,172.012,0.501,10
135,윤하,ひとつ空の下,3,5T3MfTiHPH6xxTaN6Wj7Rb,お別れですか?,spotify:track:5T3MfTiHPH6xxTaN6Wj7Rb,0.412,0.632,0.811,0.00016,0.117,-4.895,0.0332,107.016,0.757,8
136,윤하,ひとつ空の下,4,7b61QbePaBYqIzZCdtGxCg,Girl,spotify:track:7b61QbePaBYqIzZCdtGxCg,0.113,0.552,0.734,3.31e-05,0.0943,-4.567,0.0364,90.998,0.24,7
137,윤하,ひとつ空の下,5,1k0xkION6s8D8nOok7oNna,Complicated,spotify:track:1k0xkION6s8D8nOok7oNna,0.00274,0.636,0.932,0.651,0.0868,-4.488,0.0724,121.992,0.706,4
138,윤하,ひとつ空の下,6,7elPh2f55PNgIJgPoSvxDx,毎日が毎日,spotify:track:7elPh2f55PNgIJgPoSvxDx,0.0579,0.714,0.562,1.26e-06,0.0654,-8.02,0.0314,120.012,0.656,4
139,윤하,ひとつ空の下,7,0EDslvo5zkFmPKeNPSPmLU,記憶,spotify:track:0EDslvo5zkFmPKeNPSPmLU,0.0551,0.704,0.555,8.12e-05,0.0976,-8.866,0.0484,124.982,0.118,9
140,윤하,ひとつ空の下,8,7KKEFUMl4CulG1eyz8MgLR,抱きしめたい,spotify:track:7KKEFUMl4CulG1eyz8MgLR,0.161,0.569,0.533,8.99e-05,0.0914,-8.42,0.0281,78.018,0.218,4
141,윤하,ひとつ空の下,9,2SiYLVZLilzgN7VvElpxgH,虹の向こう側,spotify:track:2SiYLVZLilzgN7VvElpxgH,0.547,0.499,0.738,0.0,0.108,-4.964,0.0365,167.799,0.528,7
142,윤하,ひとつ空の下,10,45XH0YhwUTJxVnzhiwR3Co,うそばっかり,spotify:track:45XH0YhwUTJxVnzhiwR3Co,0.943,0.574,0.0899,0.000807,0.0969,-15.749,0.0389,82.079,0.176,4
143,윤하,Someday,1,2EI8CnVnpwCMAyh5x1XNhk,Gossip Boy,spotify:track:2EI8CnVnpwCMAyh5x1XNhk,0.0566,0.558,0.93,0.0,0.7,-2.38,0.0828,159.971,0.81,15
144,윤하,Someday,2,3GfzGVU2OrXHitCyNEcYRZ,기억 (feat. 타블로) - Rap Mix Version,spotify:track:3GfzGVU2OrXHitCyNEcYRZ,0.184,0.712,0.559,0.0,0.107,-7.052,0.0385,125.006,0.119,15
145,윤하,Someday,3,0HPBRcUv7Fq77gMRZ3uujj,Hero,spotify:track:0HPBRcUv7Fq77gMRZ3uujj,0.0541,0.502,0.954,0.0,0.14,-0.777,0.091,153.912,0.283,9
